Field Identifier,Category,Sub-Category,Field Name,Tooltip,Tooltip - view page (if different from upload page),Component,Options,Unit,Document-Support,Dependency,Show when value is,Mandatory Field
1,Allgemein,Datum,Gültigkeitsdatum,"Datum, bis wann die Information gültig ist.",,Date,,,,,,
2,Allgemein,Generelle ESG-Strategie,Nachhaltigkeitsstrategie vorhanden,Verfügt das Unternehmen über eine Nachhaltigkeitsstrategie?,,Yes/No,,,,,,
2.1,Allgemein,Generelle ESG-Strategie,Dokumente zur Nachhaltigkeitsstrategie,"Bitte hängen Sie Ihre Nachhaltigkeitsstrategie an. Nachhaltigkeit in diesem Sinne umfasst die Themen Umwelt (E), Soziales (S) und Unternehmensführung (G). Sie können mehrere Dokumente anhängen und pro Dokument eine Beschreibung angeben.",,Multiple Documents With Descriptions,,,,2,Yes,
3,Allgemein,Generelle ESG-Strategie,"Maßnahmen zur Erreichung des 1,5 Grad Celsius Ziels","Werden spezielle Ziele/Maßnahmen ergriffen, um das 1,5 °C Ziel zu erreichen?",,Yes/No,,,,2,Yes,
3.1,Allgemein,Generelle ESG-Strategie,"Skizzierung von Maßnahmen zur Erreichung des 1,5 Grad Celsius Ziels","Skizzieren Sie spezielle Ziele / Maßnahmen, um das 1,5 °C Ziel zu erreichen.",,FreeText,,,,3,Yes,
3.1.1.1,Allgemein,Generelle ESG-Strategie,Zugewiesene Budgets bis 2030,Bezüglich der angegebenen Maßnahmen: Bitte die zugewiesenen Budgets bis zum Jahr 2030 angeben.,,Number,"Allowed Range: [0, INF]",Euro,,3,Yes,
3.1.1.2,Allgemein,Generelle ESG-Strategie,Zugewiesene Budgets ab 2031,Bezüglich der angegebenen Maßnahmen: Bitte die zugewiesenen Budgets ab dem Jahr 2031 angeben.,,Number,"Allowed Range: [0, INF]",Euro,,3,Yes,
3.1.2.1,Allgemein,Generelle ESG-Strategie,Erwarteter Finanzierungsbedarf bis 2030,Bezüglich der angegebenen Maßnahmen: Bitte den erwarteten Finanzierungsbedarf bis zum Jahr 2030 angeben.,,Number,"Allowed Range: [0, INF]",Euro,,3,Yes,
3.1.2.2,Allgemein,Generelle ESG-Strategie,Erwarteter Finanzierungsbedarf ab 2031,Bezüglich der angegebenen Maßnahmen: Bitte den erwarteten Finanzierungsbedarf ab dem Jahr 2031 angeben.,,Number,"Allowed Range: [0, INF]",Euro,,3,Yes,
3.1.3.1,Allgemein,Generelle ESG-Strategie,Geplante Vollzeitäquivalente bis 2023,Bezüglich der angegebenen Maßnahmen: Bitte die geplanten Vollzeitäquivalente bis zum Jahr 2030 angeben.,,Number,"Allowed Range: [0, INF]",FTEs,,3,Yes,
3.1.3.2,Allgemein,Generelle ESG-Strategie,Geplante Vollzeitäquivalente ab 2031,Bezüglich der angegebenen Maßnahmen: Bitte die geplanten Vollzeitäquivalente ab dem Jahr 2031 angeben.,,Number,"Allowed Range: [0, INF]",FTEs,,3,Yes,
4,Allgemein,Generelle ESG-Strategie,Chancen oder Hindernisse,Welche grundsätzlichen Chancen oder Hindernisse bestehen für das Unternehmen bei der Berücksichtigung von ESG-Belangen?,,FreeText,,,,,,
5,Allgemein,Taxonomie KPIs und bestimmte Aktivitäten,Wirtschaftszweige,In welchen Wirtschaftszweigen ist das Unternehmen primär aktiv? Bitte Angabe des primären NACE-Codes (4-stellig).,,NACE codes,,,,,,
6,Allgemein,Taxonomie KPIs und bestimmte Aktivitäten,Gesamtumsatz,Geben Sie den Gesamtumsatz des Unternehmens in € an.,,Number,"Allowed Range: [0, INF]",Euro,,,,
6.1,Allgemein,Taxonomie KPIs und bestimmte Aktivitäten,Taxonomiefähiger Umsatz,Geben Sie den taxonomiefähigen Teilbetrag des Gesamtumsatzes in € an.,,Number,"Allowed Range: [0, INF]",Euro,,,,
6.2,Allgemein,Taxonomie KPIs und bestimmte Aktivitäten,Taxonomiekonformer Umsatz,Geben Sie den taxonomiekonformen Teilbetrag des taxonomiefähigen Betrags in € an.,,Number,"Allowed Range: [0, INF]",Euro,,,,
6.3,Allgemein,Taxonomie KPIs und bestimmte Aktivitäten,Anteil taxonomiefähiger Umsatz,Geben Sie den prozentualen Anteil der taxonomiefähigen Umsätze an.,,Percentage,,,,,,
6.4,Allgemein,Taxonomie KPIs und bestimmte Aktivitäten,Anteil taxonomiekonformer Umsatz,Geben Sie den prozentualen Anteil der taxonomiekonformen Umsätze an.,,Percentage,,,,,,
7,Allgemein,Taxonomie KPIs und bestimmte Aktivitäten,Gesamt-CapEx,Geben Sie die CapEx des Unternehmens in € an.,,Number,"Allowed Range: [0, INF]",Euro,,,,
