Field Identifier,Category,Sub-Category,Field Name,Tooltip,Component,Options,Unit,Document-Support,Dependency,Show when value is,Mandatory Field
0,General,Master Data,Berichtspflicht und Einwilligung zur Veröffentlichung,Ist das Unternehmen berichtspflichtig im Rahmen der CSRD-Richtlinie bzw. ist es gemäß den Offenlegungspflichten der Artikel 19a und 29a der Richtilinie 2023/34/EU zur Nachhaltigkeitsberichtserstattung verpflichtet? Ist das Unternehmen außerdem mit einer Veröffentlichung des Datensatzes auf Dataland einverstanden? Anderenfalls ist eine Dateneineingabe nicht möglich.,Yes/No,,,,,,Yes
1,General,Master Data,(Gültigkeits) Datum,Datum bis wann die Information gültig ist,Date,,,,,,
2,Allgemein,ESG Ziele,Existenz von ESG-Zielen,"Hat das Unternehmen spezifische ESG-Ziele / Engagements? Werden bspw. spezifische Ziele / Maßnahmen ergriffen, um das 1,5 Grad Ziel zu erreichen?",Yes/No,,,,0,Yes,
2.1,Allgemein,ESG Ziele,Beschreibung der ESG-Ziele,Bitte geben Sie eine genaue Beschreibung der ESG-Ziele.,FreeText,,,,2,Yes,
2.2,Allgemein,ESG Ziele,Investitionen in Zielerreichung,Bitte geben Sie an wieviele Budgets/Vollzeitäquivalente für das Erreichen der ESG-Ziele zugewiesen wurden.,FreeText,,,,2,Yes,
3,Allgemein,Sektoren,Sektoren mit hohen Klimaauswirkungen,Kann das Unternehmen einem oder mehreren Sektoren mit hohen Klimaauswirkungen zugeordnet werden?,Yes/No,,,,0,Yes,
3.1,Allgemein,Sektoren,Auflistung der Sektoren,"Bitte geben Sie an, zu welchen Sektoren (mit hohen Klimaauswirkungen) das Unternehmen zugeordnet werden kann.",Multi-Select Dropdown,"A - Landwirtschaft, Forstwirtschaft und Fischerei| B - Bergbau und Gewinnung von Steinen und Erden|C - Verarbeitendes Gewerbe / Herstellung von Waren|D - Energieversorgung|E - Wasserversorgung; Abwasser & Abfallentsorgung; Beseitigungen von Umweltverschmutzungen|F - Baugewerbe / Bau|G - Handel; Instandhaltung und Reparatur von Kraftfahrzeugen|H - Verkehr und Lagerhaltung| L - Grundstücks- und Wohnungswesen",,,3,Yes,
4,Allgemein,ESG Berichte,Nachhaltigkeitsberichte,Erstellt das Unternehmen Nachhaltigkeits- oder ESG-Berichte?,Yes/No,,,,0,Yes,
4.1,Allgemein,ESG Berichte,Frequenz der Berichterstattung,In welchen Zeitabständen werden die Berichte erstellt?,Single-Select Dropdown,jährlich| halbjährlich| vierteljährlich| monatlich,,,4,Yes,
4.2,Allgemein,ESG Berichte,Aktuelle Berichte,Bitte teilen Sie die letzten Berichte mit uns (vorzugsweise die letzten drei).,Multiple Documents With Descriptions,,,,4,Yes,
5,Allgemein,Akkreditierungen,ISO 14001,Haben Sie eine ISO 14001 Akkreditierung? Bitte teilen Sie das entsprechende Zertifikat mit uns.,Yes/No,,,Simple,0,Yes,
6,Allgemein,Akkreditierungen,ISO 45001,Haben Sie eine ISO 45001 Akkreditierung? Bitte teilen Sie das entsprechende Zertifikat mit uns.,Yes/No,,,Simple,0,Yes,
7,Allgemein,Akkreditierungen,ISO 27001,Haben Sie eine ISO 27001 Akkreditierung? Bitte teilen Sie das entsprechende Zertifikat mit uns.,Yes/No,,,Simple,0,Yes,
8,Allgemein,Akkreditierungen,ISO 50001,Haben Sie eine ISO 50001 Akkreditierung? Bitte teilen Sie das entsprechende Zertifikat mit uns.,Yes/No,,,Simple,0,Yes,
9,Allgemein,Akkreditierungen,Weitere Akkreditierungen,"Bitte führen Sie weitere Akkreditierungen auf, sofern diese nicht bereits gelistet sind, und teilen Sie entsprechende Zertifikate mit uns.",Multiple Documents With Descriptions,,,,0,Yes,
10.1,Allgemein,UN Global Concept Prinzipien,Mechanismen zur Überwachung der Einhaltung der UNGCP,"Verfügt das Unternehmen über Prozesse und Compliance-Mechanismen, um die Einhaltung der Prinzipien des UN Global Compact zu überwachen?",Yes/No,,,,0,Yes,
10.1.1,Allgemein,UN Global Concept Prinzipien,Richtlinien zur Einhaltung der UNGCP,"Bitte teilen Sie die Richtlinien mit uns die beschreiben oder Informationen darüber liefern, wie das Unternehmen die Einhaltung der UN Global Compact Prinzipien überwacht.",Multiple Documents With Descriptions,,,,10.1,Yes,
10.1.1.1,Allgemein,UN Global Concept Prinzipien,Erklärung der Einhaltung der UNGCP,"Bitte geben Sie eine Erklärung ab, dass keine Verstöße gegen diese Grundsätze vorliegen.",FreeText,,,,10.1,Yes,
10.2,Allgemein,OECD Leitsätze,Mechanismen zur Überwachung der Einhaltung der OECD-Leitsätze,"Verfügt das Unternehmen über Prozesse und Compliance-Mechanismen, um die Einhaltung der OECD-Leitsätze für multinationale Unternehmen (OECD MNE Guidelines) zu überwachen?",Yes/No,,,,0,Yes,
10.2.1,Allgemein,OECD Leitsätze,Richtlinien zur Einhaltung der OECD-Leitsätze,"Bitte teilen Sie die Richtlinien mit uns die beschreiben oder Informationen darüber liefern, wie das Unternehmen die Einhaltung der OECD-Leitsätze überwacht.",Multiple Documents With Descriptions,,,,10.2,Yes,
10.2.1.1,Allgemein,OECD Leitsätze,Erklärung der Einhaltung der OECD-Leitsätze,"Bitte geben Sie eine Erklärung ab, dass keine Verstöße gegen diese Grundsätze vorliegen.",FreeText,,,,10.2,Yes,
11,Allgemein,Sonstige,Ausrichtung auf die UN SDGs und aktives Verfolgen,"Wie steht das Unternehmen in Einklang mit den 17 UN-Zielen für nachhaltige Entwicklung? Welche dieser Ziele verfolgt das Unternehmen aktiv, entweder durch ihre Geschäftstätigkeit oder durch die Unternehmensführung?",FreeText,,,,0,Yes,
12,Allgemein,Sonstige,Ausschlusslisten auf Basis von ESG Kriterien,"Führt das Unternehmen Ausschlusslisten? Von besonderem Interesse sind Listen die Ausschlusskriterien, die einen Bezug zu den Bereichen E, S oder G haben.",Yes/No,,,,0,Yes,
12.1,Allgemein,Sonstige,Ausschlusslisten,Bitte nennen Sie die Ausschlusslisten auf Basis von ESG Kriterien.,FreeText,,,,12,Yes,
13,Allgemein,Führungsstandards,Ökologische/soziale Führungsstandards oder -prinzipien,Hat sich das Unternehmen zu ökologischen/sozialen Führungsstandards oder Prinzipien verpflichtet?,Yes/No,,,,0,Yes,
13.1,Allgemein,Führungsstandards,Anreizmechanismen für das Management (Umwelt),Wie spiegeln sich die Anreizmechanismen für den Bereich Umwelt in der jährlichen Zielsetzung für das Management wieder? Bitte geben Sie die aktuellen Verpflichtungen an.,Single-Select Dropdown,"Nein| Ja, Aufsichtsrat| Ja, Geschäftsleitung| Ja, Aufsichtsrat und Geschäftsleitung",,,13,Yes,
13.2,Allgemein,Führungsstandards,Anreizmechanismen für das Management (Soziales),Wie spiegeln sich die Anreizmechanismen für den Bereich Soziales in der jährlichen Zielsetzung für das Management wieder? Bitte geben Sie die aktuellen Verpflichtungen an.,Single-Select Dropdown,"Nein| Ja, Aufsichtsrat| Ja, Geschäftsleitung| Ja, Aufsichtsrat und Geschäftsleitung",,,13,Yes,
14,Allgemein,Rechtsstreitigkeiten,ESG-bezogene Rechtsstreitigkeiten,Ist das Unternehmen in laufende bzw. war das Unternehmen in den letzten 3 Jahren in abgeschlossenen Rechtsstreitigkeiten im Zusammenhang mit ESG involviert?,Yes/No,,,,0,Yes,
14.1,Allgemein,Rechtsstreitigkeiten,Rechtsstreitigkeiten mit Bezug zu E,"Haben bzw. hatten die Rechtsstreitigkeiten Bezug zu ""E""",Yes/No,,,,14,Yes,
14.1.1,Allgemein,Rechtsstreitigkeiten,Status zu E,"Sind die Rechtsstreitigkeiten mit Bezug zu ""E"" noch offen oder bereits geklärt?",Single-Select Dropdown,offen| geklärt,,,14.1,Yes,
14.1.2,Allgemein,Rechtsstreitigkeiten,Einzelheiten zu den Rechtsstreitigkeiten zu E,Bitte erläutern Sie Einzelheiten zu den Rechtsstreitigkeiten.,FreeText,,,,14.1,Yes,
14.2,Allgemein,Rechtsstreitigkeiten,Rechtsstreitigkeiten mit Bezug zu S,"Haben bzw. hatten die Rechtsstreitigkeiten Bezug zu ""S""",Yes/No,,,,14,Yes,
14.2.1,Allgemein,Rechtsstreitigkeiten,Status zu S,"Sind die Rechtsstreitigkeiten mit Bezug zu ""S"" noch offen oder bereits geklärt?",Single-Select Dropdown,offen| geklärt,,,14.2,Yes,
14.2.2,Allgemein,Rechtsstreitigkeiten,Einzelheiten zu den Rechtsstreitigkeiten zu S,Bitte erläutern Sie Einzelheiten zu den Rechtsstreitigkeiten.,FreeText,,,,14.2,Yes,
14.3,Allgemein,Rechtsstreitigkeiten,Rechtsstreitigkeiten mit Bezug zu G,"Haben bzw. hatten die Rechtsstreitigkeiten Bezug zu ""G""",Yes/No,,,,14,Yes,
14.3.1,Allgemein,Rechtsstreitigkeiten,Status zu G,"Sind die Rechtsstreitigkeiten mit Bezug zu ""G"" noch offen oder bereits geklärt?",Single-Select Dropdown,offen| geklärt,,,14.3,Yes,
14.3.2,Allgemein,Rechtsstreitigkeiten,Einzelheiten zu den Rechtsstreitigkeiten zu G,Bitte erläutern Sie Einzelheiten zu den Rechtsstreitigkeiten.,FreeText,,,,14.3,Yes,
15,Allgemein,Rating,ESG-Rating,Hat das Unternehmen bereits ein ESG-Rating einer anerkannten Ratingagentur?,Yes/No,,,,0,Yes,
15.1,Allgemein,Rating,Agentur,Welche Rating Agentur hat das Rating durchgeführt?,String,,,,15,Yes,
15.2,Allgemein,Rating,Ergebnis,Wie lautet das Rating?,String,,,,15,Yes,
15.3,Allgemein,Rating,Ratingbericht,Liegt ein Ratingbericht vor?,Yes/No,,,Simple,15,Yes,
15.4,Allgemein,Rating,Kritische Punkte,Was waren die kritischen Punkte beim ESG-Rating?,FreeText,,,,15,Yes,
16.1,Allgemein,Anleihen,"Grüne, soziale und/oder nachhaltige Emissionen","Hat das Unternehmen „grüne“, „soziale“ und/oder „nachhaltige“ Schuldtitel begeben?",Yes/No,,,,0,Yes,
16.1.1,Allgemein,Anleihen,"Ausstehende grüne, soziale und/oder nachhaltige Emissionen",Bitte geben Sie Details zu den ausstehenden Emissionen für das letzte Jahr der Berichterstattung an (in Mio €).,Number,,,,16.1,Yes,
16.2,Allgemein,Anleihen,Sustainibility Linked Debt,Hat das Unternehmen Sustainability Linked Debt („SLD“) emittiert?,Yes/No,,,,0,Yes,
16.2.1,Allgemein,Anleihen,Ausstehende Sustainibility Linked Debt,Bitte geben Sie Details zu den ausstehenden Emissionen für das letzte Jahr der Berichterstattung an (in Mio €).,Number,,,,16.2,Yes,
17,Allgemein,Risiken,"Wichtigste E-, S- und G-Risiken und Bewertung","Welche sind die wichtigsten von der Gruppe identifizierten E-, S- und G-Risiken? Bitte geben Sie die Details / Bewertung der identifizierten Risiken an.",FreeText,,,,0,Yes,
18,Allgemein,Risiken,Hindernisse beim Umgang mit ESG-Bedenken,Welche grundsätzlichen Hindernisse bestehen für das Unternehmen bei der Berücksichtigung von ESG-Belangen?,FreeText,,,,0,Yes,
19,Umwelt,Treibhausgasemissionen,Treibhausgas-Berichterstattung und Prognosen,"Welche Treibhausgasinformationen werden derzeit auf Unternehmens-/Konzernebene berichtet und prognostiziert? Bitte geben Sie die Scope 1, Scope 2 und Scope 3 Emissionen für das aktuelle Kalenderjahr, die letzten drei Jahre sowie die Prognosen für die kommenden drei Jahre an (in tCO2-Äquiv.).",Custom - Rolling Window,,,,0,Yes,
20,Umwelt,Treibhausgasemissionen,"Treibhausgas-Emissionsintensität der Unternehmen, in die investiert wird","THG-Emissionsintensität der Unternehmen, in die investiert wird. (1) Scope 1 + Scope 2 Treibhausgasemissionen / Umsatz in Millionen EUR, (2) Scope 1 + Scope 2 Treibhausgasemissionen / Unternehmensgröße in Mio. EUR",FreeText,,,,0,Yes,
21,Umwelt,Treibhausgasemissionen,Strategie und Ziele zur Reduzierung von Treibhausgas-Emissionen,"Welchen Entwicklungspfad bzgl. der (Reduktion von) Treibhausgasemissionen verfolgt das Unternehmen. Gibt es einen Zeitplan bzw. konkrete Ziele? Und wie plant das Unternehmen, diesen Kurs zu erreichen? Bitte erläutern Sie, in welchem Bezug dieser Entwicklungspfad zu dem auf dem Pariser Abkommen basierenden Kurs steht.",FreeText,,,,0,Yes,
22,Umwelt,Produktion,Produkte zur Verringerung der Umweltbelastung,"Entwickelt, produziert oder vertreibt das Unternehmen Produkte, die die Umweltbelastung verringern?",Yes/No,,,,0,Yes,
22.1,Umwelt,Produktion,Verringerungen der Umweltbelastung,"Bitte beschreiben Sie möglichst genau, wie die Produkte die Umweltbelastung reduzieren.",FreeText,,,,22,Yes,
23,Umwelt,Produktion,Ökologischer Mindest-Standard für Produktionsprozesse,"Verfügt das Unternehmen über interne Richtlinien, die einen Mindestumweltstandard im Produktionsprozess sicherstellen?",Yes/No,,,,0,Yes,
24,Umwelt,Energieverbrauch,Berichterstattung Energieverbrauch,"Bitte geben Sie den Energieverbrauch (in GWh), sowie den Verbrauch erneuerbaren Energien (%) und, falls zutreffend, die Erzeugung erneuerbaren Energien (%) für das aktuelle Kalenderjahr, die letzten drei Jahre sowie die Prognosen für die kommenden drei Jahre an.",Custom - Rolling Window,,,,0,Yes,
25,Umwelt,Energieverbrauch,Unternehmens/Gruppen Strategie bzgl Energieverbrauch,Bitte erläutern Sie den von der Gruppe/Unternehmen definierte Entwicklungspfad (Zeitplan und Ziel - falls vorhanden) und wie das Unternehmen den geplanten Entwicklungspfad erreichen möchte.,FreeText,,,,0,Yes,
26,Umwelt,Energieeffizienz Immobilienanlagen,Berichterstattung Energieverbrauch von Immobilienvermögen,"Bitte geben Sie den Anteil an energieeffizienten Immobilienanlagen (%) für das aktuelle Kalenderjahr, die letzten drei Jahre sowie die Prognosen für die kommenden drei Jahre an.",Custom - Rolling Window,,,,0,Yes,
27,Umwelt,Energieeffizienz Immobilienanlagen,Unternehmens/Gruppen Strategie bzgl energieeffizienten Immobilienanlagen,Bitte erläutern Sie den von der Gruppe/Unternehmen definierte Entwicklungspfad (Zeitplan und Ziel - falls vorhanden) und wie das Unternehmen den geplanten Entwicklungspfad erreichen möchte.,FreeText,,,,0,Yes,
28,Umwelt,Wasserverbrauch,Berichterstattung Wasserverbrauch,"Bitte geben Sie den Wasserverbrauch (in l), sowie die Emissionen in Wasser (in Tonnen) für das aktuelle Kalenderjahr, die letzten drei Jahre sowie die Prognosen für die kommenden drei Jahre an.",Custom - Rolling Window,,,,0,Yes,
29,Umwelt,Wasserverbrauch,Unternehmens/Gruppen Strategie bzgl Wasserverbrauch,Bitte erläutern Sie den von der Gruppe/Unternehmen definierte Entwicklungspfad (Zeitplan und Ziel - falls vorhanden) und wie das Unternehmen den geplanten Entwicklungspfad erreichen möchte.,FreeText,,,,0,Yes,
30,Umwelt,Abfallproduktion,Berichterstattung Abfallproduktion,"Bitte geben Sie die gesamte Abfallmenge (in Tonnen), sowie den Anteil (%) der gesamten Abfallmenge, der recyclet wird, sowie den Anteil (%) gefährlicher Abfall der gesamten Abfallmenge für das aktuelle Kalenderjahr, die letzten drei Jahre sowie die Prognosen für die kommenden drei Jahre an.",Custom - Rolling Window,,,,0,Yes,
31,Umwelt,Abfallproduktion,Unternehmens/Gruppen Strategie bzgl Abfallproduktion,Bitte erläutern Sie den von der Gruppe/Unternehmen definierte Entwicklungspfad (Zeitplan und Ziel - falls vorhanden) und wie das Unternehmen den geplanten Entwicklungspfad erreichen möchte.,FreeText,,,,0,Yes,
32,Umwelt,Abfallproduktion,Recycling im Produktionsprozess,"Bitte geben Sie an, wie hoch der Anteil an Recyclaten (bereits recyceltes wiederverwertetes Material) im Produktionsprozess für das aktuelle Kalenderjahr, die letzten drei Jahre sowie die Prognosen für die kommenden drei Jahre ist.",Custom - Rolling Window,,,,0,Yes,
33,Umwelt,Abfallproduktion,Gefährlicher Abfall,"Wie wird in dem Unternehmen während der Produktion und Verarbeitung mit gefährlichen Abfällen (brennbar, reaktiv, giftig, radioaktiv) umgegangen?",FreeText,,,,0,Yes,
34,Umwelt,Biodiversität,Negative Aktivitäten für die biologische Vielfalt,"Hat das Unternehmen Standorte / Betriebe in oder in der Nähe von biodiversitätssensiblen Gebieten, in denen sich die Aktivitäten des Unternehmens negativ auf diese Gebiete auswirken?",Yes/No,,,,0,Yes,
34.1,Umwelt,Biodiversität,Negative Maßnahmen für die biologische Vielfalt,"Bitte erläutern Sie Aktivitäten, die sich negativ auf die Biodiversität auswirken. Teilen Sie bitte auch den von der Gruppe/Unternehmen definierte Entwicklungspfad für den Umgang mit diesen Maßnahmen (Zeitplan und Ziel - falls vorhanden) mit uns und wie das Unternehmen den geplanten Entwicklungspfad erreichen möchte.",FreeText,,,,34,Yes,
35,Umwelt,Biodiversität,Positive Aktivitäten für die biologische Vielfalt,"Hat das Unternehmen Standorte / Betriebe in oder in der Nähe von biodiversitätssensiblen Gebieten, in denen sich die Aktivitäten des Unternehmens positiv auf diese Gebiete auswirken?",Yes/No,,,,0,Yes,
35.1,Umwelt,Biodiversität,Positive Maßnahmen für die biologische Vielfalt,"Bitte erläutern Sie Aktivitäten, die sich positiv auf die Biodiversität auswirken. Teilen Sie bitte auch den von der Gruppe/Unternehmen definierte Entwicklungspfad für die Weiterentwicklung dieser Maßnahmen (Zeitplan und Ziel - falls vorhanden) mit uns und wie das Unternehmen den geplanten Entwicklungspfad erreichen möchte.",FreeText,,,,35,Yes,
36,Umwelt,Fossile Brennstoffe,Einnahmen aus fossilen Brennstoffen,"Erzielt das Unternehmen einen Teil seiner Einnahmen aus Aktivitäten im Bereich fossiler Brennstoffe und/oder besitzt das Unternehmen Immobilien, die an der Gewinnung, Lagerung, dem Transport oder der Herstellung fossiler Brennstoffe beteiligt sind?",Yes/No,,,,0,Yes,
36.1,Umwelt,Fossile Brennstoffe,Berichterstattung Einnahmen aus fossilen Brennstoffen,"Bitte geben Sie den Anteil (%) der Einnahmen aus fossilen Brennstoffen aus den gesamten Einnahmen für das aktuelle Kalenderjahr, die letzten drei Jahre sowie die Prognosen für die kommenden drei Jahre an.",Custom - Rolling Window,,,,36,Yes,
