Field Identifier,Category,Sub-Category,Field Name,Alias Export,Tooltip,Component,Options,Unit,Document-Support,Dependency,Show when value is,Mandatory Field,Include Category in Type Name,Include Sub-Category in Type Name,Data Point Type Name Overwrite
0,General,,Fiscal Year Deviation,Fiscal Year Deviation,Does the fiscal year deviate from the calendar year?,Single-Select Radio Button,Deviation | No Deviation,,Extended,,,,,,
,General,,Fiscal Year End,Fiscal Year End,The date the fiscal year ends.,Date,,,Extended,,,,,,
1,General,,Scope Of Entities,Scope Of Entities,Are all Group legal entities covered in the reports?,Yes/No/NA, ,,Extended,,,,,,
2,General,,NFRD Mandatory,NFRD Mandatory,Is the NFRD mandatory for your company?,Yes/No, ,,Extended,,,,,,
3,General,,EU Taxonomy Activity Level Reporting,EU Taxonomy Activity Level Reporting,Activity level disclosure,Yes/No, ,,Extended,,,,,,
4,General,,Assurance,Assurance,"Level of Assurance of the EU Taxonomy Disclosure (Reasonable Assurance, Limited Assurance, None)",Custom EuTaxonomyAssuranceComponent, ,,,,,,,,
5,General,,Number of Employees,Number of Employees,Total Number of Employees (including temporary workers with assignment duration longer than 6 months),Number,"Allowed Range: [0, INF]",,Extended,,,,,,
6,General,,UN Global Compact Principles Compliance Policy,UN Global Compact Principles Compliance Policy,"Existence of a policy to monitor compliance with the UNGC principles or OECD Guidelines for Multinational Enterprises. See Regulation (EU) 2022/1288, Annex I, top (22) and table 1, indicator nr. 11.",Yes/No,,,Extended,,,,,,
7,General,,OECD Guidelines for Multinational Enterprises Compliance Policy,OECD Guidelines for Multinational Enterprises Compliance Policy,"Existence of grievance/complaints handling mechanisms to address violations of the UNGC principles or OECD Guidelines for Multinational Enterprises. See Regulation (EU) 2022/1288, Annex I, top (22) and table 1, indicator nr. 11.",Yes/No,,,Extended,,,,,,
8,General,,ILO Core Labour Standards,ILO Core Labour Standards,Abidance by the ILO Core Labour Standards.,Yes/No,,,Extended,,,,,,
9,General,,Human Rights Due Diligence,Human Rights Due Diligence,"Existence of due diligence processes to identify, prevent, mitigate and address adverse human rights impacts. See Regulation (EU) 2022/1288, Annex I, table 3, indicator nr. 10.",Yes/No,,,Extended,,,,,,
10,General,,Referenced Reports,Referenced Reports,,Report Preupload, ,,,,,,,,
11,Revenue,,Total Amount,Total Amount Revenue,Total revenue per annum,Currency,,,Extended,,,,,,
12.1,Revenue,Non-Eligible Share,Relative Share in Percent,Relative Share in Percent Revenue NE,Relative share of the revenue that is not part of a plan to meet the DNSH criteria and make substantial contribution to any environmental objective,Percentage,,,Extended,,,,Yes,Yes,
12.2,Revenue,Non-Eligible Share,Absolute Share,Absolute Share Revenue NE,Absolute value of the revenue that is not part of a plan to meet the DNSH criteria and make substantial contribution to any environmental objective,Currency,,,Extended,,,,Yes,Yes,
13.1,Revenue,Eligible Share,Relative Share in Percent,Relative Share in Percent Revenue E,Relative share of the total eligible revenue in same currency than total revenue. Is part of the total revenue where the economic activity meets taxonomy criteria for substantial contribution to climate change mitigation and does no serious harm to the other environmental objectives (DNSH criteria).,Percentage,,,Extended,,,,Yes,Yes,
13.2,Revenue,Eligible Share,Absolute Share,Absolute Share Revenue E,Absolute value of the total eligible revenue in same currency than total revenue. Is part of the total revenue where the economic activity meets taxonomy criteria for substantial contribution to climate change mitigation and does no serious harm to the other environmental objectives (DNSH criteria).,Currency,,,Extended,,,,Yes,Yes,
