Field Identifier,Category,Sub-Category,Field Name,Alias Export,Tooltip,Component,Options,Unit,Document-Support,Dependency,Show when value is,Mandatory Field,Include Category in Type Name,Include Sub-Category in Type Name,Data Point Type Name Overwrite
1,General,General,Fiscal Year Deviation,FISCAL_YEAR_DEVIATION,Does the fiscal year deviate from the calendar year?,Single-Select Radio Button,Deviation | No Deviation,,Extended,,,,,,
2,General,General,Fiscal Year End,FISCAL_YEAR_END,The date the fiscal year ends.,Date, ,,Extended,,,,,,
3,General,General,Referenced Reports,REFERENCED_REPORTS,Please upload all relevant reports for this dataset in the PDF format.,Report Preupload, ,,,,,,,,
4,General,General,Are all Group Entities covered?,ALL_GROUP_ENTITIES_COVERED,Are all Group legal entities covered in the reports?,Yes/No, ,,Extended,,,,,,AreAllGroupEntitiesCoveredByEuTaxonomyReports
5,General,General,Number of Employees,NO_OF_EMPLOYEES,Total Number of Employees (including temporary workers with assignment duration longer than 6 months),Number,"Allowed Range: [0, INF]",,Extended,,,,,,
6,General,General,Is EU Taxonomy data reported on a mandatory basis?,EU_TAXONOMY_MANDATORY,"Does Article 1(2) of Regulation (EU) 2020/852 apply to the undertaking and, therefore, is EU Taxonomy data reported on a mandatory basis?",Yes/No,,,Extended,,,,,,
7,General,General,Assurance,ASSURANCE,"Level of Assurance of the EU Taxonomy Disclosure (Reasonable Assurance, Limited Assurance, None)",Custom EuTaxonomyAssuranceComponent, ,,,,,,,,
8,General,General,Reports in accordance with Article 7(9) of Regulation (EU) 2026/73,REPORTS_NO_TAXONOMY_ELIGIBLE_ACTIVITIES,"Does the financial undertaking report in accordance with Article 7(9) of Regulation (EU) 2026/73 by including in their management report the following statement: ""No activities are claimed as being associated with economic activities that qualify as environmentally sustainable under Articles 3 and 9 of Regulation (EU) 2020/852 (Taxonomy Regulation)",Yes/No,,,Extended,,,,,,
9,Credit Institution,Assets for Calculation of Green Asset Ratio,Total (gross) Carrying Amount,CI_GAR_ASSETS_TOTAL_GROSS_CARRYING_AMOUNT,Total overall covered assets which are included in the numerator. Do not include assets which not covered for GAR calculation.,Currency,"Allowed Range: [0, INF]",,Extended,,,,Yes,Yes,
10,Credit Institution,Assets for Calculation of Green Asset Ratio,Total Amount of Non-Assessed Exposures,CI_GAR_ASSETS_NON_ASSESSED,Total amount of assets of which Non-Assessed Exposures,Currency,"Allowed Range: [0, INF]",,Extended,,,,Yes,Yes,
11,Credit Institution,Assets for Calculation of Green Asset Ratio,Total Amount Of Non-Assessed Exposures - Of which Financing Non-Material Activities of Counterparties,CI_GAR_ASSETS_NON_ASSESSED_NON_MATERIAL_CP,Total amount of assets of which Financing Non-Material Activities of Counterparties,Currency,"Allowed Range: [0, INF]",,Extended,,,,Yes,Yes,
12,Credit Institution,Assets for Calculation of Green Asset Ratio,Total Amount Of Non-Assessed Exposures - Of which Exposures Financing Counterparties Reporting no Taxonomy-eligible Activities,CI_GAR_ASSETS_NON_ASSESSED_NO_ELIGIBLE_CP,Total amount of assets Of which exposures financing counterparties reporting in accordance with Article 7(9) of Regulation (EU) 2026/73,Currency,"Allowed Range: [0, INF]",,Extended,,,,Yes,Yes,
13,Credit Institution,Assets for Calculation of Green Asset Ratio,Total Amount Of Non-Assessed Exposures - Of which Not Assessed Considered Non-Material by the Credit Institution,CI_GAR_ASSETS_NON_ASSESSED_NON_MATERIAL_CI,Total amount of assets of which Not Assessed Considered Non-Material by the Credit Institution,Currency,"Allowed Range: [0, INF]",,Extended,,,,Yes,Yes,
