Field Identifier,Category,Sub-Category,Field Name,Alias Export,Tooltip,Component,Options,Unit,Document-Support,Dependency,Show when value is,Mandatory Field,Include Category in Type Name,Include Sub-Category in Type Name,Data Point Type Name Overwrite
0,General,,Fiscal Year Deviation,FISCAL_YEAR_DEVIATION,Does the fiscal year deviate from the calendar year?,Single-Select Radio Button,Deviation | No Deviation,,Extended,,,,,,
,General,,Fiscal Year End,FISCAL_YEAR_END,The date the fiscal year ends.,Date,,,Extended,,,,,,
1,General,,Scope Of Entities,SCOPE_OF_ENTITIES,Are all Group legal entities covered in the reports?,Yes/No/NA,,,Extended,,,,,,
2,General,,Is EU Taxonomy data reported on a mandatory basis?,EU_TAXONOMY_MANDATORY,"Does Article 1(2) of Regulation (EU) 2020/852 apply to the undertaking and, therefore, is EU Taxonomy data reported on a mandatory basis?",Yes/No,,,Extended,,,,,,
3,General,,EU Taxonomy Activity Level Reporting,ACTIVITY_LEVEL_REPORTING,Activity level disclosure,Yes/No,,,Extended,,,,,,
4,General,,Assurance,ASSURANCE,"Level of Assurance of the EU Taxonomy Disclosure (Reasonable Assurance, Limited Assurance, None)",Custom EuTaxonomyAssuranceComponent,,,,,,,,,
5,General,,Number of Employees,NO_OF_EMPLOYEES,Total Number of Employees (including temporary workers with assignment duration longer than 6 months),Number,"Allowed Range: [0, INF]",,Extended,,,,,,
6,General,,UN Global Compact Principles Compliance Policy,UNGC_PRINCIPLES_COMPLIANCE_POLICY,"Does the company have a policy to monitor compliance with the UNGC principles or OECD Guidelines for Multinational Enterprises? (See Regulation (EU) 2022/1288, Annex I, top (22) and table 1, indicator nr. 11.) If yes, please share the relevant documents with us.",Yes/No,,,Extended,,,,,,
7,General,,OECD Guidelines for Multinational Enterprises Compliance Policy,OECD_GUIDELINES_COMPLIANCE_POLICY,"Existence of grievance/complaints handling mechanisms to address violations of the UNGC principles or OECD Guidelines for Multinational Enterprises. See Regulation (EU) 2022/1288, Annex I, top (22) and table 1, indicator nr. 11.",Yes/No,,,Extended,,,,,,
8,General,,ILO Core Labour Standards,ILO_CORE_LABOUR_STANDARDS,Does the company abide by the ILO Core Labour Standards?,Yes/No,,,Extended,,,,,,
9,General,,Human Rights Due Diligence,HUMAN_RIGHTS_DUE_DILIGENCE,"Does the company have due diligence processes to identify, prevent, mitigate and address adverse human rights impacts? See Regulation (EU) 2022/1288, Annex I, table 3, indicator nr. 10.",Yes/No,,,Extended,,,,,,
10,General,,Referenced Reports,REFERENCED_REPORTS,,Report Preupload,,,,,,,,,
11,Revenue,,Total Amount,REV_TOTAL_AMOUNT,Total revenue per annum,Currency,,,Extended,,,,,,
12,Revenue,Eligible Share,Relative Share in Percent,REV_ELIGIBLE_PCT,Relative share of the total eligible revenue in same currency than total revenue. Is part of the total revenue where the economic activity meets taxonomy criteria for substantial contribution to climate change mitigation and does no serious harm to the other environmental objectives (DNSH criteria).,Percentage,,,Extended,,,,Yes,Yes,
13.1,Revenue,Aligned Share,Relative Share in Percent,REV_ALIGNED_PCT,"Relative share of the total eligible revenue that is taxonomy-aligned, i.e., generated by an eligible economic activity that is making a substantial contribution to at least one of the climate and environmental objectives, while also doing no significant harm to the remaining objectives and meeting minimum standards on human rights and labour standards. In same currency than total revenue.",Percentage,,,Extended,,,,Yes,Yes,
