Field Identifier,Category,Sub-Category,Field Name,Tooltip,Component,Options,Unit,Document-Support,Dependency,Show when value is,Mandatory Field
0,General,Master Data,Berichts-Pflicht,Ist das Unternehmen berichtspflichtig?,Yes/No,,,,,,Yes
1,General,Master Data,(Gültigkeits) Datum,Datum bis wann die Information gültig ist,Date,,,,,,
2,Allgemein,ESG Ziele,Existenz von ESG-Zielen,"Hat das Unternehmen spezifische ESG-Ziele/Engagements? Werden bspw. spezifische Ziele / Maßnahmen ergriffen, um das 1,5 Grad Ziel zu erreichen?",Yes/No,,,,0,Yes,
2.1,Allgemein,ESG Ziele,Beschreibung der ESG-Ziele,Bitte geben Sie eine genaue Beschreibung der ESG-Ziele.,String,,,,2,Yes,
2.2,Allgemein,ESG Ziele,Investitionen in Zielerreichung,Bitte geben Sie an wieviele Budgets/Vollzeitäquivalente für das Erreichen der ESG-Ziele zugewiesen wurden.,String,,,,2,Yes,
3,Allgemein,Sektoren,Sektoren mit hohen Klimaauswirkungen,Kann das Unternehmen einem oder mehreren Sektoren mit hohen Klimaauswirkungen zugeordnet werden?,Yes/No,,,,0,Yes,
3.1,Allgemein,Sektoren,Auflistung der Sektoren,"Bitte geben Sie an, zu welchen Sektoren (mit hohen Klimaauswirkungen) das Unternehmen zugeordnet werden kann.",Multi-Select Dropdown,A; B; C; D; E; F; G; H; L,,,3,Yes,
4,Allgemein,ESG Berichte,Nachhaltigkeitsbericht,Erstellt das Unternehmen Nachhaltigkeits- oder ESG-Berichte?,Yes/No,,,,0,Yes,
4.1,Allgemein,ESG Berichte,Frequenz der Berichterstattung,In welchen Zeitabständen werden die Berichte erstellt?,Single-Select Dropdown,jährlich; halbjährlich; vierteljährlich; monatlich,,,4,Yes,
4.2,Allgemein,ESG Berichte,Aktuelle Berichte,Bitte teilen Sie die letzten Berichte mit uns (vorzugsweise die letzten drei).,Custom - List of BaseDataPoint<string>,,,Simple,4,Yes,
5,Allgemein,Akkreditierungen,ISO 14001,Haben Sie eine ISO 14001 Akkreditierung? Bitte teilen Sie das entsprechende Zertifikat mit uns.,Yes/No,,,Simple,,,
6,Allgemein,Akkreditierungen,ISO 45001,Haben Sie eine ISO 45001 Akkreditierung? Bitte teilen Sie das entsprechende Zertifikat mit uns.,Yes/No,,,Simple,,,
7,Allgemein,Akkreditierungen,ISO 27001,Haben Sie eine ISO 27001 Akkreditierung? Bitte teilen Sie das entsprechende Zertifikat mit uns.,Yes/No,,,Simple,,,
8,Allgemein,Akkreditierungen,ISO 50001,Haben Sie eine ISO 50001 Akkreditierung? Bitte teilen Sie das entsprechende Zertifikat mit uns.,Yes/No,,,Simple,,,
9,Allgemein,Akkreditierungen,Weitere Akkreditierungen,"Bitte führen Sie weitere Akkreditierungen auf, sofern diese nicht bereits gelistet sind, und teilen Sie entsprechende Zertifikate mit uns.",Custom - List of BaseDataPoint<string>,,,Simple,0,Yes,
10,Allgemein,,Mechanismen zur Überwachung der Einhaltung UN Global Compact Prinzipien und/oder OECD Leitsätze,"Verfügt das Unternehmen über Prozesse und Compliance-Mechanismen, um die Einhaltung der Prinzipien des UN Global Compact und/oder der OECD-Leitsätze für multinationale Unternehmen (OECD MNE-Leitsätze) zu überwachen?",Yes/No,,,,0,Yes,
10.1,Allgemein,,UNCG Prinzipien,"Hat das Unternehmen Überwachungsmechanismen für die UNGC Prinzipien eingerichtet ? Wenn ja bitte, teilen Sie die Richtlinien mit uns, die beschreiben oder Informationen darüber liefern, wie das Unternehmen die Einhaltung des UNGC (alle vier Säulen) überwacht.",New Component - Yes/No with multiple basedocumentreferences,,,Simple,10,Yes,
10.1.1,Allgemein,,Erklärung UNGC,"Bitte geben Sie eine Erklärung ab, dass keine Verstöße gegen diese Grundsätze vorliegen.",String,,,,,Yes,
10.2,Allgemein,,OECD Leitsätze,"Hat das Unternehmen Überwachungsmechanismen für die OECD Leitsätze eingerichtet ? Wenn ja, bitte teilen Sie die Richtlinien mit uns, die beschreiben oder Informationen darüber liefern, wie das Unternehmen die Einhaltung der OECD Leitsätze überwacht.",Yes/No,,,,10,Yes,
10.2.1,Allgemein,,Richtlinien Einhaltung OECD,"Bitte teilen Sie die Richtlinien mit uns die beschreiben oder Informationen darüber liefern, wie das Unternehmen die Einhaltung der OECD Leitsätze überwacht.",Custom - List of BaseDocumentReference,,,Simple,10.2,Yes,
10.2.2,Allgemein,,Erklärung OECD,"Bitte geben Sie eine Erklärung ab, dass keine Verstöße gegen diese Grundsätze vorliegen.",String,,,,10.2,Yes,
