Field Identifier,Category,Sub-Category,Field Name,Tooltip,Component,Options,Unit,Document-Support,Dependency,Show when value is,Mandatory Field
0,General,Master Data,Berichts-Pflicht,Ist das Unternehmen berichtspflichtig?,Yes/No,,,,,,
1,General,Master Data,(Gültigkeits) Datum,Datum bis wann die Information gültig ist,Date,,,,,,
2,Allgemein,,ESG-Ziele,"Hat das Unternehmen spezifische ESG-Ziele/Engagements? Werden bspw. spezifische Ziele / Maßnahmen ergriffen, um das 1,5 Grad Ziel zu erreichen?",Yes/No,,,,0,Yes,
2.1,Allgemein,,Ziele,Bitte geben Sie eine genaue Beschreibung der ESG-Ziele.,String,,,,2,Yes,
2.2,Allgemein,,Investitionen,Bitte geben Sie an wieviele Budgets/Vollzeitäquivalente für das Erreichen der ESG-Ziele zugewiesen wurden.,String,,,,2,Yes,
3,Allgemein,,Sektor mit hohen Klimaauswirkungen,Kann das Unternehmen einem oder mehreren Sektoren mit hohen Klimaauswirkungen zugeordnet werden?,Yes/No,,,,0,Yes,
3.1,Allgemein,,Sektor,"Bitte geben Sie an, zu welchen Sektoren (mit hohen Klimaauswirkungen) das Unternehmen zugeordnet werden kann.",Multi-Select Dropdown,A; B; C; D; E; F; G; H; L,,,3,Yes,
4,Allgemein,,Nachhaltigkeitsbericht,Erstellt das Unternehmen Nachhaltigkeits- oder ESG-Berichte?,Yes/No,,,,0,Yes,
4.1,Allgemein,,Frequenz der Berichterstattung,,Single-Select Dropdown,jährlich; halbjährlich; vierteljährlich; monatlich,,,4,Yes,
4.2,Allgemein,,Aktuelle Berichte,Bitte teilen Sie die letzten Berichte mit uns (vorzugsweise die letzten drei).,,,,Simple,4,Yes,
