Field Identifier,Category,Sub-Category,Field Name,Tooltip,Component,Options,Unit,Document-Support,Dependency,Show when value is,Mandatory Field
1,General,Datenanbieter,Unternehmenseigentum und Eigentümerstruktur,Bitte geben Sie eine kurze Auskunft über die Besitzverhältnisse und Eigentümerstruktur des Unternehmens.,String,,,,,,
2,General,Datenanbieter,Kernkompetenzen und Geschäftsbereiche,Bitte beschreiben Sie kurz Ihre Kernkompetenzen und Geschäftsfelder,NACE codes,,,,,,
3,General,Datenanbieter,Anzahl der für ESG zuständigen Mitarbeiter,Wie viele Mitarbeiter in Ihrem Unternehmen sind für den ESG-Bereich in Ihrem Unternehmen verantwortlich,Number,,,,,,
4,General,Methodik,Verständnis von Nachhaltigkeit als Teil der Bewertung,"Bitte führen Sie Ihr Verständnis von Nachhaltigkeit im Rahmen der Bewertung aus.
Bitte machen Sie Angaben zu den Komponenten, die Sie bei der Bewertung des Grades der Nachhaltigkeit von Unternehmen berücksichtigen.",String,,,,,,
5,General,Methodik,Kriterien für Ihre Nachhaltigkeitsratings,Welche Kriterien legen Sie für Ihre Nachhaltigkeitsratings zugrunde?,String,,,,,,
6,General,Methodik,Verfahren zur Vorbereitung der Analyse oder Methodik,"Bitte beschreiben Sie uns das Vorgehen zur Erstellung Ihrer Analysen, bzw. die zugrunde liegende Methodik.",String,,,,,,
7,General,Methodik,Wie ist Ihre Bewertungsskala definiert?,Wie ist Ihre Ratingskala definiert?,String,,,,,,
8,General,Methodik,Bewertung aktuell,Wie stellen Sie die Aktualität ihrer Ratings sicher? Wie häufig/in welchen Zeitabständen werden Updates zur Verfügung gestellt?,String,,,,,,
9,General,Methodik,Sind Ihre Bewertungen unabhängig?,"Erfolgen Ihre Ratings unabhängig (von Kunden, Kooperationspartnern, Unternehmen, etc.)
Welche Parteien können aktiv Einfluss auf die Gestaltung des Ratings nehmen?",String,,,,,,
10,General,Methodik,Datenerfassung,"Wie erfolgt die Datenerhebung?
Hier sollten Angaben zur Vorgehensweise bei der Datenerhebung gemacht werden, z.B. mithilfe eines Fragebogens, Interviews, etc.",String,,,,,,
