Field Identifier,Category,Sub-Category,Field Name,Tooltip,Component,Options,Unit,Document-Support,Dependency,Show when value is,Mandatory Field
1,General,Unternehmen,Unternehmenseigentum und Eigentümerstruktur,Bitte geben Sie eine kurze Auskunft über die Besitzverhältnisse und Eigentümerstruktur des Unternehmens.,FreeText,,,,,,
2,General,Unternehmen,Kernkompetenzen und Geschäftsbereiche,Bitte wählen Sie Ihre Kernkompetenzen und Geschäftsfelder,NACE codes,,,,,,
3,General,Unternehmen,Anzahl der für ESG zuständigen Mitarbeiter,Wie viele Mitarbeiter in Ihrem Unternehmen sind für den ESG-Bereich in Ihrem Unternehmen verantwortlich,Integer,,,,,,
4,General,Methodik,Verständnis von Nachhaltigkeit als Teil der Bewertung,"Bitte führen Sie Ihr Verständnis von Nachhaltigkeit im Rahmen der Bewertung aus.
Bitte machen Sie Angaben zu den Komponenten, die Sie bei der Bewertung des Grades der Nachhaltigkeit von Unternehmen berücksichtigen.",FreeText,,,,,,
5,General,Methodik,Kriterien für Ihre Nachhaltigkeitsratings,Welche Kriterien legen Sie für Ihre Nachhaltigkeitsratings zugrunde?,FreeText,,,,,,
6,General,Methodik,Verfahren zur Vorbereitung der Analyse oder Methodik,"Bitte beschreiben Sie uns das Vorgehen zur Erstellung Ihrer Analysen, bzw. die zugrunde liegende Methodik.",FreeText,,,,,,
7,General,Methodik,Definition Bewertungsskala,Wie ist Ihre Ratingskala definiert?,FreeText,,,,,,
8,General,Methodik,Aktualität der Ratings,Wie stellen Sie die Aktualität ihrer Ratings sicher? Wie häufig/in welchen Zeitabständen werden Updates zur Verfügung gestellt?,FreeText,,,,,,
9,General,Methodik,Unabhängigkeit der Ratings,"Erfolgen Ihre Ratings unabhängig (von Kunden, Kooperationspartnern, Unternehmen, etc.)?
Welche Parteien können aktiv Einfluss auf die Gestaltung des Ratings nehmen?",FreeText,,,,,,
10,General,Methodik,Datenerfassung,"Wie erfolgt die Datenerhebung?
Hier sollten Angaben zur Vorgehensweise bei der Datenerhebung gemacht werden, z.B. mithilfe eines Fragebogens, Interviews, etc.",FreeText,,,,,,
11,General,Methodik,"Methodik umfasst Umwelt, Soziales und Governance","Deckt die Methodik die Bereiche Umwelt, Soziales und Governance ab?
Hier sollte darauf eingangen werden, ob die Methodik alle drei Bereiche abdeckt oder ein Fokus auf bestimmte Themenbereiche vorliegt.",FreeText,,,,,,
12,General,Methodik,Datenquelle,"Welche Quellen werden für die Datenerhebung verwendet?
Angabe von Quellen für die Datenerhebung, zum Beispiel Nachhaltigkeitsberichte von Unternehmen, Daten von NGOs etc.",Multiple Documents With Descriptions,,,,,,
13,General,Methodik,Daten Plausibilitätsprüfung,"Wie werden die erhobenen Daten plausibilisiert?
Erkennung von Ausreißern (z.B. mithilfe von Benchmarking), Maßnahmen zur Erkennung von unplausiblen Daten (z.B. numerische Daten werden verlangt und Text wurde eingetragen)",FreeText,,,,,,
14,General,Methodik,Intervalle für die Datenaktualisierung,"In welchen Zeiträumen erfolgt eine Aktualisierung der Daten?
Angabe des Zeitraums in dem das Rating aktualisiert wird (z.B. quartalsweise, monatlich), sowie wie z.B. mit Adhoc Meldungen umgegangen wird.",String,,,,,,
15,General,Methodik,Zuverlässigkeit der Methodik sicherstellen,"Wie wird die Reliabilität der Methodik sichergestellt?
Bei einer Methodik muss sichergestellt werden, dass mehrere Anwender zum selben Ergebnis kommen. Angaben dazu, wie das gewährleistet wird.",FreeText,,,,,,
16,General,Methodik,Minimierung oder Verhinderung subjektiver Faktoren,"Wie werden subjektive Einflussfaktoren minimiert bzw. verhindert?
Subjektive Einschätzungen spielen im Rating Markt eine große Rolle, Angaben dazu, wie Subjektivität reduziert wird. (z.B. durch Vier-Augen Prinzip, automatische Prozesse)",FreeText,,,,,,
17,General,Methodik,Liste potenzieller Interessenkonflikte,"Bitte führen Sie mögliche Interessenskonflikte auf.
Kurze Beschreibung möglicher entstehender Interessenskonflikte bei der Bewertung eines Unternehmens.",FreeText,,,,,,
18,General,Methodik,Interessenkonflikten entgegenwirken,"Wie wird Interessenskonflikten entgegengewirkt?
Wenn der Erheber der Daten zugleich der Nutzer der Daten ist, kann es zu Interessenskonflikten kommen. Beschreibung der Prozesse, um dem entgegenzuwirken (z.B. Maßnahmen zur Erhöhung der Transparenz, Erfüllung bestimmter Vorgaben, Vier-Augen Prinzip)",FreeText,,,,,,
19,General,Methodik,Dokumentation der Datenerfassung und Sicherstellung des Prozesses,"Wie wird die Dokumentation der erhobenen Daten und der Prozesse sichergestellt?
Angabe des Dokumentationsortes von Daten und Prozessen und Ausführung der Art und Weise der Dokumentation. Angabe von Maßnahmen zur Unveränderlichkeit von Informationen.",FreeText,,,,,,
20,General,Methodik,Bewertung von Qualitätsstandards,Welche Qualitätsstandards liegen Ihrem Rating zugrunde?,FreeText,,,,,,
21,General,Methodik,Rating-Transparenzstandards,Welche Transparenzstandards liegen Ihrem Rating zugrunde?,FreeText,,,,,,
22,General,Methodik,Qualitätssicherungsprozess,Gibt es einen Qualitätssicherungsprozess?,Yes/No,,,,,,
"22,1",General,Methodik,"Falls nein, geben Sie bitte die Gründe an","Wenn Nein, bitte begründen",FreeText,,,,22,No,
23,General,Methodik,Struktur des Qualitätssicherungsprozesses,"Wie ist der Qualitätssicherungsprozess aufgebaut?
Beschreibung des Prozesses, wie z.B. sichergestellt wird, dass keine falschen Daten oder unvollständige Daten erhoben werden.",FreeText,,,,22,Yes,
24,General,Methodik,Die Aktualität der Methodik,"Wie wird die Aktualität der Methodik sichergestellt?
Angaben dazu, wie Adhoc/kurzfristige Meldungen bei Emittenten und kurzfristige regulatorische Veränderungen überwacht und in die Methodik integriert werden.",FreeText,,,,22,Yes,
25,General,Methodik,PAIs in die Analyse einbezogen,Werden PAIs in der Analyse berücksichtigt?,Yes/No,,,,,,
26,General,Methodik,Liste der eingeschlossenen PAIs,Welche PAIs werden in der Analyse berücksichtigt?,FreeText,,,,25,Yes,
27,General,Methodik,Quelle der PAI-Sammlung,Welche Quellen werden für die Erhebung der PAIs verwendet?,Multiple Documents With Descriptions,,,,25,Yes,
28,General,Methodik,Umgang mit Ausreißern,Wie erfolgt der Umgang mit Ausreißern?,FreeText,,,,25,Yes,
29,General,Methodik,Identifizierung von kontroversen Geschäften,Wie werden kontroverse Geschäftsfelder identifiziert?,FreeText,,,,,,
30,General,Methodik,Aktuelle Kontroversen,Wie wird die Aktualität der Kontroversen gewährleistet?,FreeText,,,,,,
31,General,Methodik,Kontroversen um die Quellenerfassung,Welche Quellen werden zur Erfassung von Kontroversen genutzt?,Multiple Documents With Descriptions,,,,,,
32,Environmental,Nachhaltigskeitsrisiken,Methodik für ökologische Nachhaltigkeitsrisiken,"Werden Nachhaltigkeitsrisiken bezogen auf den Bereich Umwelt in der Methodik abgebildet?
Nachhaltigkeitsrisiken können einen wesentlichen negativen Einfluss auf die Performance eines Unternehmens haben.",Yes/No,,,,,,
"32,1",Environmental,Nachhaltigskeitsrisiken,"Wenn Nein, bitte begründen",,FreeText,,,,32,No,
33,Environmental,Nachhaltigskeitsrisiken,Kartierte Risiken für die ökologische Nachhaltigkeit,"Welche Nachhaltigkeitsrisiken im Bereich Umwelt werden abgebildet?
Aufführung der Nachhaltigkeitsrisiken, die abgebildet werden können. (z.B. Klimarisiken, Risiken bzgl. Biodiversität, Risiken bzgl. Wasser)",FreeText,,,,32,Yes,
34,Environmental,Nachhaltigskeitsrisiken,Identifizierung der wesentlichen Risiken für die ökologische Nachhaltigkeit und der Konstruktionsmethodik,"Wie werden wesentliche Nachhaltigkeitsrisiken eines Unternehmens im Bereich Umwelt identifiziert und in der Methodik berücksichtigt?
Angaben zur Wesentlichkeitsanalyse bei der Einstufung der Wesentlichkeit eines Risikos bezogen auf ein Unternehmen. Sowie Angaben dazu, wie sich die unterschiedliche Risikoeinstufung in der Methodik widerspiegelt.",FreeText,,,,32,Yes,
35,Environmental,Nachhaltigskeitsrisiken,Umweltbewertung unter Berücksichtigung von Nachhaltigkeitsrisiken,"Wie werden Nachhaltigkeitsrisiken in der Bewertung bezogen auf den Bereich Umwelt berücksichtigt?
Angaben dazu, ob Nachhaltigkeitsrisiken aus dem Bereich Umwelt in die Erstellung des Ratings miteinbezogen werden und wenn ja wie.",FreeText,,,,32,Yes,
36,Environmental,Nachhaltigskeitsrisiken,Risiken für die ökologische Nachhaltigkeit absichern,Wie wird die Überwachung von Nachhaltigkeitsrisiken im Bereich Umwelt sichergestellt?,FreeText,,,,32,Yes,
37,Environmental,Nachhaltigskeitsrisiken,Quelle,"Welche Quellen werden für die Erfassung von Nachhaltigkeitsrisiken im Bereich Umwelt verwendet?
Angabe von Quellen, zum Beispiel Geschäftsberichte von Unternehmen, Daten von NGOs etc.",Multiple Documents With Descriptions,,,,32,Yes,
38,Environmental,Nachhaltigskeitsrisiken,Vier-Augen-Prüfung,Ist eine Vier-Augen-Verifizierung vorhanden?,Yes/No,,,,,,
"38,1",Environmental,Nachhaltigskeitsrisiken,"Wenn keine Vier-Augen-Prüfung, bitte begründen",,FreeText,,,,38,No,
39,Environmental,Nachhaltigskeitsrisiken,Beschreibung der Vier-Augen- Prüfung,Wie erfolgt die Vier-Augen-Verifizierung?,FreeText,,,,38,Yes,
40,Environmental,PAIs,Sechs PAIs - Treibhausgasemissionen,"Werden die sechs PAIs bezogen auf Treibhausgasemissionen abgebildet?
Ja/Nein bezogen auf Annex I C(2022)1931",Yes/No,,,,,,
"40,1",Environmental,PAIs,"Wenn Nein, bitte begründen",,FreeText,,,,40,No,
"40,2",Environmental,PAIs,"Wenn Ja, bitte die PAIs auflisten",,FreeText,,,,40,Yes,
41,Environmental,PAIs,Verwendete Schlüsselzahlen,"Welche Kennzahlen werden verwendet?
Angabe der Kennzahlen, die zur Berechnung und Abbildung der PAIs verwendet werden.",FreeText,,,,40,Yes,
42,Environmental,PAIs,Datenerfassung,"Wie erfolgt die Datenerhebung?
Angaben zur Datenerhebung der o.g. Kennzahlen (z.B. Fragebogen, Interviews, Übernahme der Daten aus Geschäftsberichten, Benchmarking)",FreeText,,,,40,Yes,
43,Environmental,PAIs,Daten Plausibilitätsprüfung,"Wie erfolgt die Datenplausibilisierung?
Erkennung von Ausreißern (z.B. mithilfe von Benchmarking), Maßnahmen zur Erkennung von unplausiblen Daten z.B. numerische Daten werden verlangt und Text wurde erfasst.",FreeText,,,,40,Yes,
44,Environmental,PAIs,Datenquelle,"Welche Quellen werden genutzt?
Angabe von Quellen zur Erhebung der KPIs, zum Beispiel Geschäftsberichte von Unternehmen, nichtfinanzielle Erklärungen etc.",Multiple Documents With Descriptions,,,,40,Yes,
