Field Identifier,Template,Field Name,Tooltip,Component,Options,Unit,Document-Support,Dependency,Show when value is,Mandatory Field
1,Aligned (Denominator),Taxonomy-aligned Share (Denominator) (Climate Change Mitigation and Climate Change Adaptation) - N&G 4.26,Proportion of taxonomy-aligned economic activity referred to in Section 4.26 of Annexes I and II to Delegated Regulation 2021/2139 in the numerator of the applicable KPI substantially contributing to Climate Change Mitigation and Climate Change Adaptation.,Percentage,"Allowed Range: [0, INF]",,,,,
2,Aligned (Denominator),Taxonomy-aligned Share (Denominator) substantially contributing to Climate Change Mitigation - N&G 4.26,Proportion of taxonomy-aligned economic activity referred to in Section 4.26 of Annexes I and II to Delegated Regulation 2021/2139 in the numerator of the applicable KPI substantially contributing to Climate Change Mitigation.,Percentage,"Allowed Range: [0, INF]",,,,,
3,Aligned (Denominator),Taxonomy-aligned Share (Denominator) substantially contributing to Climate Change Adaptation - N&G 4.26,Proportion of taxonomy-aligned economic activity referred to in Section 4.26 of Annexes I and II to Delegated Regulation 2021/2139 in the numerator of the applicable KPI substantially contributing to Climate Change Adaptation.,Percentage,"Allowed Range: [0, INF]",,,,,
4,Aligned (Denominator),Taxonomy-aligned Share (Denominator) (Climate Change Mitigation and Climate Change Adaptation) - N&G 4.27,Proportion of taxonomy-aligned economic activity referred to in Section 4.27 of Annexes I and II to Delegated Regulation 2021/2139 in the numerator of the applicable KPI substantially contributing to Climate Change Mitigation and Climate Change Adaptation.,Percentage,"Allowed Range: [0, INF]",,,,,
5,Aligned (Denominator),Taxonomy-aligned Share (Denominator) substantially contributing to Climate Change Mitigation - N&G 4.27,Proportion of taxonomy-aligned economic activity referred to in Section 4.27 of Annexes I and II to Delegated Regulation 2021/2139 in the numerator of the applicable KPI substantially contributing to Climate Change Mitigation.,Percentage,"Allowed Range: [0, INF]",,,,,
6,Aligned (Denominator),Taxonomy-aligned Share (Denominator) substantially contributing to Climate Change Adaptation - N&G 4.27,Proportion of taxonomy-aligned economic activity referred to in Section 4.27 of Annexes I and II to Delegated Regulation 2021/2139 in the numerator of the applicable KPI substantially contributing to Climate Change Adaptation.,Percentage,"Allowed Range: [0, INF]",,,,,
7,Aligned (Denominator),Taxonomy-aligned Share (Denominator) (Climate Change Mitigation and Climate Change Adaptation) - N&G 4.28,Proportion of taxonomy-aligned economic activity referred to in Section 4.28 of Annexes I and II to Delegated Regulation 2021/2139 in the numerator of the applicable KPI substantially contributing to Climate Change Mitigation and Climate Change Adaptation.,Percentage,"Allowed Range: [0, INF]",,,,,
8,Aligned (Denominator),Taxonomy-aligned Share (Denominator) substantially contributing to Climate Change Mitigation - N&G 4.28,Proportion of taxonomy-aligned economic activity referred to in Section 4.28 of Annexes I and II to Delegated Regulation 2021/2139 in the numerator of the applicable KPI substantially contributing to Climate Change Mitigation.,Percentage,"Allowed Range: [0, INF]",,,,,
9,Aligned (Denominator),Taxonomy-aligned Share (Denominator) substantially contributing to Climate Change Adaptation - N&G 4.28,Proportion of taxonomy-aligned economic activity referred to in Section 4.28 of Annexes I and II to Delegated Regulation 2021/2139 in the numerator of the applicable KPI substantially contributing to Climate Change Adaptation.,Percentage,"Allowed Range: [0, INF]",,,,,
10,Aligned (Denominator),Taxonomy-aligned Share (Denominator) (Climate Change Mitigation and Climate Change Adaptation) - N&G 4.29,Proportion of taxonomy-aligned economic activity referred to in Section 4.29 of Annexes I and II to Delegated Regulation 2021/2139 in the numerator of the applicable KPI substantially contributing to Climate Change Mitigation and Climate Change Adaptation.,Percentage,"Allowed Range: [0, INF]",,,,,
