Field Identifier,Category,Sub-Category,Field Name,Alias Export,Tooltip,Component,Options,Unit,Document-Support,Dependency,Show when value is,Mandatory Field
1,General,General,Referenced Reports,REFERENCED_REPORTS,Please upload all relevant reports for this dataset in the PDF format.,Report Preupload, ,,,,,
2,General,General,Nuclear Energy related Activities (Section 4.26),NUCLEAR_SECTION_4-26_RD,"The undertaking carries out, funds, or has exposures to research, development, demonstration and deployment of innovative electricity generation facilities that produce energy from nuclear processes with minimal waste from the fuel cycle.",Yes/No,,,Extended,,,
3,General,General,Nuclear Energy related Activities (Section 4.27),NUCLEAR_SECTION_4-27_CONSTRUCTION,"The undertaking carries out, funds, or has exposures to construction and safe operation of new nuclear installations to produce electricity or process heat, including for the purposes of district heating or industrial processes such as hydrogen production, as well as their safety upgrades, using best available technologies.",Yes/No,,,Extended,,,
4,General,General,Nuclear Energy related Activities (Section 4.28),NUCLEAR_SECTION_4-28_SAFE_OPERATION,"The undertaking carries out, funds, or has exposures to safe operation of existing nuclear installations that produce electricity or process heat, including for the purposes of district heating or industrial processes such as hydrogen production from nuclear energy, as well as their safety upgrades.",Yes/No,,,Extended,,,
5,General,General,Fossil Gas related Activities (Section 4.29),FOSSIL_SECTION_4-29_CONSTRUCTION_ELECTRIC,"The undertaking carries out, funds, or has exposures to construction or operation of electricity generation facilities that produce electricity using fossil gaseous fuels.",Yes/No,,,Extended,,,
6,General,General,Fossil Gas related Activities (Section 4.30),FOSSIL_SECTION_4-30_RD_CONSTRUCTION_POWER,"The undertaking carries out, funds, or has exposures to construction, refurbishment, and operation of combined heat/cool and power generation facilities using fossil gaseous fuels.",Yes/No,,,Extended,,,
7,General,General,Fossil Gas related Activities (Section 4.31),FOSSIL_SECTION_4-31_HEAT_GEN,"The undertaking carries out, funds, or has exposures to construction, refurbishment and operation of heat generation facilities that produce heat/cool using fossil gaseous fuels.",Yes/No,,,Extended,,,
8,General,Taxonomy-aligned (denominator),Nuclear and Gas Taxonomy-aligned Revenue (denominator),REV_ALIGNED_DENOMINATOR,Proportion of Taxonomy-aligned Economic Activity referred to in Sections 4.26 to 4.31 of Annexes I and II to Delegated Regulation 2021/2139 in the Denominator of the applicable KPI - Revenue-based,Custom NuclearAndGasAlignedDenominatorComponent,,,Extended,,,
9,General,Taxonomy-aligned (denominator),Nuclear and Gas Taxonomy-aligned CapEx (denominator),CAPEX_ALIGNED_DENOMINATOR,Proportion of Taxonomy-aligned Economic Activity referred to in Sections 4.26 to 4.31 of Annexes I and II to Delegated Regulation 2021/2139 in the Denominator of the applicable KPI - CapEx-based,Custom NuclearAndGasAlignedDenominatorComponent,,,Extended,,,
10,General,Taxonomy-aligned (numerator),Nuclear and Gas Taxonomy-aligned Revenue (numerator),REV_ALIGNED_NUMERATOR,Proportion of Taxonomy-aligned Economic Activity referred to in Sections 4.26 to 4.31 of Annexes I and II to Delegated Regulation 2021/2139 in the Numerator of the applicable KPI - Revenue-based,Custom NuclearAndGasAlignedNumeratorComponent,,,Extended,,,
11,General,Taxonomy-aligned (numerator),Nuclear and Gas Taxonomy-aligned CapEx (numerator),CAPEX_ALIGNED_NUMERATOR,Proportion of Taxonomy-aligned Economic Activity referred to in Sections 4.26 to 4.31 of Annexes I and II to Delegated Regulation 2021/2139 in the Numerator of the applicable KPI - CapEx-based,Custom NuclearAndGasAlignedNumeratorComponent,,,Extended,,,
12,General,Taxonomy-eligible but not aligned,Nuclear and Gas Taxonomy-eligible but not aligned Revenue,REV_NON_ALIGNED_ELIGIBLE,Proportion of Taxonomy-eligible but not Taxonomy-aligned Economic Activity referred to in Sections 4.26 to 4.31 of Annexes I and II to Delegated Regulation 2021/2139 in the denominator of the applicable KPI - Revenue-based,Custom NuclearAndGasEligibleButNotAlignedComponent,,,Extended,,,
13,General,Taxonomy-eligible but not aligned,Nuclear and Gas Taxonomy-eligible but not aligned CapEx,CAPEX_NON_ALIGNED_ELIGIBLE,Proportion of Taxonomy-eligible but not Taxonomy-aligned Economic Activity referred to in Sections 4.26 to 4.31 of Annexes I and II to Delegated Regulation 2021/2139 in the denominator of the applicable KPI - CapEx-based,Custom NuclearAndGasEligibleButNotAlignedComponent,,,Extended,,,
14,General,Taxonomy-non-eligible,Nuclear and Gas Taxonomy-non-eligible Revenue,REV_NON_ELIGIBLE,Proportion of Taxonomy-non-eligible Economic Activity referred to in Sections 4.26 to 4.31 of Annexes I and II to Delegated Regulation 2021/2139 in the denominator of the applicable KPI - Revenue-based,Custom NuclearAndGasNonEligibleComponent,,,Extended,,,
15,General,Taxonomy-non-eligible,Nuclear and Gas Taxonomy-non-eligible CapEx,CAPEX_NON_ELIGIBLE,Proportion of Taxonomy-non-eligible Economic Activity referred to in Sections 4.26 to 4.31 of Annexes I and II to Delegated Regulation 2021/2139 in the denominator of the applicable KPI - CapEx-based,Custom NuclearAndGasNonEligibleComponent,,,Extended,,,
