Field Identifier,Category,Sub-Category,Field Name,Tooltip,Tooltip - view page (if different from upload page),Component,Options,Unit,Document-Support,Dependency,Show when value is,Mandatory Field
1,Basic,Basis for Preparation,Reporting Basis,"Has the sustainability report been prepared on a consolidated basis (i.e., the report includes information of the undertaking and its subsidiaries) or on an individual basis (i.e., the report is limited only to the information of the undertaking)?",,Yes/No,,,Simple,,,
2,Basic,Basis for Preparation,Subsidiary,Please provide a list of your subsidiaries including their registered addresses.,,Vsme Subsidiary,,,,,,
3,Basic,Basis for Preparation,Referenced Reports,Please upload all relevant reports for this dataset in the PDF format.,All relevant reports for this dataset in PDF format.,Report Preupload,, , ,,,
4,Basic,Practices for transitioning towards a more sustainable economy,Undertaken Measures,"Please, describe specific practices for transitioning towards a more sustainable economy in case you have them in place.",,Multiple Documents With Descriptions,,,,,,
5,Basic,Energy and greenhous gas emissions,Energy Fossil Fuels,Please disclose your total energy consumption in MWh (in the reporting period) for fossil fuels.,,Number,,MWh,,,,
6,Basic,Energy and greenhous gas emissions,Electricity Total,Please disclose your total energy consumption in MWh (in the reporting period) for electricity as reflected in utility billings. If available distinguish between renewable and nonrenewable sources.,,Number,,MWh,Extended,,,
7,Basic,Energy and greenhous gas emissions,Electricity Non-Renewable,Please provide the amount of electricity in MWh generated from non renewable sources.,,Number,,MWh,,,,
8,Basic,Energy and greenhous gas emissions,Electricity Renewable,Please provide the amount of electricity in MWh generated from renewable sources.,,Number,,MWh,,,,
9,Basic,Energy and greenhous gas emissions,Total Emissions,"Please disclose your estimated gross greenhouse gas (GHG) emissions in tons of CO2 equivalents (tCO2eq) considering the content of the GHG Protocol Corporate Standard.
(a) total GHG emissions in tCO2eq",,Number,,tCO2eq,Extended,,,
10,Basic,Energy and greenhous gas emissions,Scope 1 Emissions,(b) the Scope 1 GHG emissions in tCO2eq (from owned or controlled sources),,Number,,tCO2eq,Extended,,,
11,Basic,Energy and greenhous gas emissions,Scope 2 Emissions,"(c) the Scope 2 emissions in tCO2eq (i.e., emissions from the generation of purchased energy)",,Number,,tCO2eq,Extended,,,
12,Basic,Energy and greenhous gas emissions,Scope 3 Emissions,"(d) Scope 3 emissions, in case you can provide them",,Number,,tCO2eq,Extended,,,
13,Basic,"Pollution of air, water, soil",Pollution Emission,"Please disclose, if applicable, the pollutants (with respective amounts in kg) you emit to air, water and soil in your own operations.",,Vsme Pollution Emission,,,,,,
14,Basic,Biodiversity,Sites and Areas,"Please, provide a list of relevant company sites adjoint to key biodiversity areas (including their country, area in hectares, adjoint biodiversity area, and level of adjointness).",,Vsme Site And Area,,,,,,
15,Basic,Biodiversity,Total Sealed Area Previous Year,"Please, report on the land-use of your company with respect to different kinds of surfaces/landscapes. Provide the corresponding values for the year before the reporting year, for the reporting year itself and the percentual change thereof.  (Area is in hectares.)",,Number,,Hectare,,,,
16,Basic,Biodiversity,Total Sealed Area Reporting Year,"Please, report on the land-use of your company with respect to different kinds of surfaces/landscapes. Provide the corresponding values for the year before the reporting year, for the reporting year itself and the percentual change thereof.  (Area is in hectares.)",,Number,,Hectare,,,,
17,Basic,Biodiversity,Relative Change Sealed Area,"Please, report on the land-use of your company with respect to different kinds of surfaces/landscapes. Provide the corresponding values for the year before the reporting year, for the reporting year itself and the percentual change thereof. ",,Percentage,,,,,,
18,Basic,Biodiversity,Total Nature-Oriented Area On-Site Previous Year,"Please, report on the land-use of your company with respect to different kinds of surfaces/landscapes. Provide the corresponding values for the year before the reporting year, for the reporting year itself and the percentual change thereof.  (Area is in hectares.)",,Number,,Hectare,,,,
19,Basic,Biodiversity,Total Nature-Oriented Area On-Site Reporting Year,"Please, report on the land-use of your company with respect to different kinds of surfaces/landscapes. Provide the corresponding values for the year before the reporting year, for the reporting year itself and the percentual change thereof.  (Area is in hectares.)",,Number,,Hectare,,,,
20,Basic,Biodiversity,Relative Change Nature-Oriented On-Site,"Please, report on the land-use of your company with respect to different kinds of surfaces/landscapes. Provide the corresponding values for the year before the reporting year, for the reporting year itself and the percentual change thereof. ",,Percentage,,,,,,
21,Basic,Biodiversity,Total Nature-Oriented Area Off-Site Previous Year,"Please, report on the land-use of your company with respect to different kinds of surfaces/landscapes. Provide the corresponding values for the year before the reporting year, for the reporting year itself and the percentual change thereof.  (Area is in hectares.)",,Number,,Hectare,,,,
22,Basic,Biodiversity,Total Nature-Oriented Area Off-Site Reporting Year,"Please, report on the land-use of your company with respect to different kinds of surfaces/landscapes. Provide the corresponding values for the year before the reporting year, for the reporting year itself and the percentual change thereof.  (Area is in hectares.)",,Number,,Hectare,,,,
23,Basic,Biodiversity,Relative Change Nature-Oriented Off-Site,"Please, report on the land-use of your company with respect to different kinds of surfaces/landscapes. Provide the corresponding values for the year before the reporting year, for the reporting year itself and the percentual change thereof. ",,Percentage,,,,,,
24,Basic,Biodiversity,Total Use Of Land Previous Year,"Please, report on the land-use of your company with respect to different kinds of surfaces/landscapes. Provide the corresponding values for the year before the reporting year, for the reporting year itself and the percentual change thereof.  (Area is in hectares.)",,Number,,Hectare,,,,
25,Basic,Biodiversity,Total Use Of Land Reporting Year,"Please, report on the land-use of your company with respect to different kinds of surfaces/landscapes. Provide the corresponding values for the year before the reporting year, for the reporting year itself and the percentual change thereof.  (Area is in hectares.)",,Number,,Hectare,,,,
26,Basic,Biodiversity,Relative Change Land Use,"Please, report on the land-use of your company with respect to different kinds of surfaces/landscapes. Provide the corresponding values for the year before the reporting year, for the reporting year itself and the percentual change thereof.",,Percentage,,,,,,
27,Basic,Water,Water Withdrawal All Sites,"Please, disclose your total water withdrawal (in m^3), i.e., the amount of water drawn into the boundaries of the organisation (or facility); pay additional attention to sites located in areas of high water-stress.",,Number,,Cubic Meters,Extended,,,
28,Basic,Water,Water Withdrawal Stress Sites,Please disclose your water withdrawal (in m^3) from sites with high water stress.,,Number,,Cubic Meters,,,,
29,Basic,Water,Water Discharge All Sites,"If applicable, we aim to determine your water consumption (as the difference between water withdrawal and water discharge). Hence, please disclose your respective water discharge from your production processes.",,Number,,Cubic Meters,,,,
30,Basic,Water,Water Discharge Stress Sites,Please disclose your water discharge (in m^3) from sites with high water stress.,,Number,,Cubic Meters,,,,
31,Basic,Water,Rainwater All Sites,Please disclose the amount of rainwater (in m^3) for all sites.,,Number,,Cubic Meters,,,,
32,Basic,Water,Rainwater Stress Sites,Please disclose the amount of rainwater (in m^3) for all sites with high water stress.,,Number,,Cubic Meters,,,,
33,Basic,Water,Water Consumption All Sites,Please disclose the amount of water consumption (in m^3) for all sites.,,Number,,Cubic Meters,,,,
34,Basic,Water,Water Consumption Stress Sites,Please disclose the amount of water consumption (in m^3) for all sites with high water stress.,,Number,,Cubic Meters,,,,
